State,Regular,Mid-Grade,Premium,Diesel
Alaska,3.758,3.99,4.217,4.058
Alabama,2.762,3.199,3.593,3.438
Arkansas,2.762,3.194,3.587,3.362
Arizona,3.227,3.586,3.902,3.611
California,4.493,4.719,4.901,5.116
Colorado,3.084,3.481,3.819,3.525
Connecticut,3.107,3.709,4.083,3.774
District of Columbia,3.29,3.856,4.304,3.816
Delaware,3.036,3.607,3.896,3.805
Florida,3.035,3.487,3.802,3.616
Georgia,2.902,3.358,3.757,3.561
Hawaii,4.459,4.695,4.942,5.256
Iowa,2.887,3.187,3.676,3.52
Idaho,3.512,3.793,4.062,3.925
Illinois,3.397,3.987,4.448,3.749
Indiana,3.173,3.72,4.212,3.811
Kansas,2.835,3.165,3.499,3.44
Kentucky,2.831,3.374,3.793,3.393
Louisiana,2.733,3.163,3.543,3.296
Massachusetts,3.057,3.671,4.042,3.855
Maryland,3.1,3.677,3.978,3.832
Maine,3.089,3.658,4.113,3.896
Michigan,3.099,3.656,4.207,3.711
Minnesota,2.932,3.323,3.768,3.582
Missouri,2.822,3.181,3.502,3.425
Mississippi,2.685,3.126,3.484,3.274
Montana,3.238,3.539,3.872,3.641
North Carolina,2.85,3.302,3.688,3.473
North Dakota,2.895,3.224,3.591,3.422
Nebraska,2.927,3.123,3.652,3.41
New Hampshire,3.005,3.598,4.022,3.814
New Jersey,3.046,3.607,3.849,3.673
New Mexico,2.896,3.289,3.587,3.461
Nevada,3.734,4.028,4.296,3.905
New York,3.158,3.677,4.057,3.907
Ohio,3.02,3.557,4.067,3.669
Oklahoma,2.67,3.052,3.352,3.228
Oregon,3.983,4.223,4.488,4.467
Pennsylvania,3.24,3.688,4.048,4
Rhode Island,3.03,3.765,4.139,3.802
South Carolina,2.793,3.242,3.613,3.422
South Dakota,2.961,3.166,3.626,3.374
Tennessee,2.769,3.239,3.624,3.413
Texas,2.755,3.228,3.586,3.185
Utah,3.34,3.609,3.843,3.734
Virginia,2.972,3.439,3.815,3.65
Vermont,3.092,3.653,4.078,3.819
Washington,4.403,4.671,4.906,5.02
Wisconsin,2.834,3.352,3.852,3.493
West Virginia,3.002,3.42,3.856,3.595
Wyoming,3.101,3.375,3.682,3.611
